国内地区代码,国内地区名称
11019,东城区
11029,西城区
11039,崇文区
11049,宣武区
11053,北京电子城科技园区
11059,朝阳区
11063,北京丰台科技园区
11069,丰台区
11079,石景山
11083,北京海淀科技园区
11089,海淀区其他
11099,门头沟
11109,房山
11115,北京天竺出口加工区
11116,北京天竺综合保税区
11119,顺义
11123,北京昌平科技园区
11129,昌平
11132,北京经济技术开发区
11133,北京亦庄科技园区
11139,大兴其他
11149,通县
11159,怀柔
11169,平谷
11179,延庆
11189,密云
11909,北京其他
12019,和平区
12029,河东区
12039,河西区
12043,天津新技术产业园区
12049,南开区其他
12059,河北区
12069,红桥区
12072,天津经济技术开发区
12074,天津港保税区
12075,天津出口加工区
12076,天津东疆保税港区
12077,天津保税物流园
12079,滨海新区(塘沽其他)
12089,滨海新区(汉沽)
12099,滨海新区(大港)
12106,天津滨海新区综合保税区
12109,东丽区
12119,西青区
12129,津南区
12139,北辰区
12149,宁河县
12159,武清县
12169,静海县
12179,宝坻县
12189,蓟县
12909,天津其他
13013,石家庄高新技术产业开发实验区
13019,石家庄其他
13029,唐山
13032,秦皇岛经济技术开发区
13035,河北秦皇岛出口加工区
13039,秦皇岛其他
13049,邯郸
13059,邢台
13063,保定高新技术产业开发区
13069,保定其他
13079,张家口
13089,承德
13099,沧州
13105,河北廊坊出口加工区
13109,廊坊
13119,衡水
13129,武安
13909,河北其他
14012,山西太原经济技术开发区
14013,太原高新技术产业开发区
14019,太原其他
14029,大同
14039,阳泉
14049,长治
14059,晋城
14069,朔州
14079,雁北
14089,忻州
14099,吕梁
14109,晋中
14119,临汾
14129,运城
14139,古交
14909,山西其他
15015,内蒙古呼和浩特出口加工区
15019,呼和浩特
15023,包头高新技术产业开发区
15029,包头其他
15039,乌海
15049,赤峰
15059,二连
15069,满洲里
15079,呼伦贝尔盟
15089,哲里木盟
15099,兴安盟
15109,乌兰察布盟
15119,巴彦淖尔市
15129,伊克昭盟
15139,阿拉善盟
15149,锡林郭勒盟
15909,内蒙古其他
21012,沈阳经济技术开发区
21013,沈阳南湖科技开发区
