国别地区代码,中文名(简称),英文名(简称),优/普税率
101,阿富汗,Afghanistan,L
102,巴林,Bahrian,L
103,孟加拉国,Bangladesh,L
104,不丹,Bhutan,H
105,文莱,Brunei,L
106,缅甸,Myanmar,L
107,柬埔寨,Cambodia,L
108,塞浦路斯,Cyprus,L
109,朝鲜,Korea,DPR,L
110,香港,Hong Kong,L
111,印度,India,L
112,印度尼西亚,Indonesia,L
113,伊朗,Iran,L
114,伊拉克,Iraq,L
115,以色列,Israel,L
116,日本,Japan,L
117,约旦,Jordan,L
118,科威特,Kuwait,L
119,老挝,Lao PDR,L
120,黎巴嫩,Lebanon,L
121,澳门,Macau,L
122,马来西亚,Malaysia,L
123,马尔代夫,Maldives,L
124,蒙古,Mongolia,L
125,尼泊尔联邦民主共和国,Nepal, FDR,L
126,阿曼,Oman,L
127,巴基斯坦,Pakistan,L
128,巴勒斯坦,Palestine,H
129,菲律宾,Philippines,L
130,卡塔尔,Qatar,L
131,沙特阿拉伯,Saudi Arabia,L
132,新加坡,Singapore,L
133,韩国,Korea, Rep.,L
134,斯里兰卡,Sri Lanka,L
135,叙利亚,Syrian Arab Republic,L
136,泰国,Thailand,L
137,土耳其,Turkey,L
138,阿联酋,United Arab Emirates,L
139,也门,Yemen,L
141,越南,Viet Nam,L
142,中国,China,L
143,台澎金马关税区,Taiwan, Prov.of China,L
144,东帝汶,Timor-Leste,L
145,哈萨克斯坦,Kazakhstan,L
146,吉尔吉斯斯坦,Kyrgyzstan,L
147,塔吉克斯坦,Tajikistan,L
148,土库曼斯坦,Turkmenistan,L
149,乌兹别克斯坦,Uzbekistan,L
199,亚洲其他国家(地区),Oth. Asia nes, 
201,阿尔及利亚,Algeria,L
202,安哥拉,Angola,L
203,贝宁,Benin,L
204,博茨瓦那,Botswana,L
205,布隆迪,Burundi,L
206,喀麦隆,Cameroon,L
207,加那利群岛,Canary Islands,H
208,佛得角,Cape Verde,L
209,中非,Central African Republic.,L
210,塞卜泰(休达),Ceuta,H
211,乍得,Chad,L
212,科摩罗,Comoros,H
213,刚果(布),Congo,L
214,吉布提,Djibouti,L
215,埃及,Egypt,L
216,赤道几内亚,Equatorial Guinea,L
217,埃塞俄比亚,Ethiopia,L
218,加蓬,Gabon,L
219,冈比亚,Gambia,L
220,加纳,Ghana,L
221,几内亚,Guinea,L
222,几内亚比绍,Guinea-Bissau,L
223,科特迪瓦,Cote d'lvoire,L
224,肯尼亚,Kenya,L
225,利比里亚,Liberia,L
226,利比亚,Libyan Arab Jamahiriya,L
227,马达加斯加,Madagascar,L
228,马拉维,Malawi,L
229,马里,Mali,L
230,毛里塔尼亚,Mauritania,L
231,毛里求斯,Mauritius,L
232,摩洛哥,Morocco,L
233,莫桑比克,Mozambique,L
234,纳米比亚,Namibia,L
235,尼日尔,Niger,L
236,尼日利亚,Nigeria,L
237,留尼汪,Reunion,H
238,卢旺达,Rwanda,L
239,圣多美和普林西比,Sao Tome and Principe,H
240,塞内加尔,Senegal,L
241,塞舌尔,Seychelles,H
242,塞拉利昂,Sierra Leone,L
243,索马里,Somalia,L
244,南非,South Africa,L
245,西撒哈拉,Western Sahara,H
246,苏丹,Sudan,L
247,坦桑尼亚,Tanzania,L
248,多哥,Togo,L
249,突尼斯,Tunisia,L
250,乌干达,Uganda,L
251,布基纳法索,Burkina Faso,L
252,刚果(金),Congo,DR,L
253,赞比亚,Zambia,L
254,津巴布韦,Zimbabwe,L
255,莱索托,Lesotho,L
256,梅利利亚,Melilla,H
257,斯威士兰,Swaziland,L
258,厄立特里亚,Eritrea,L
259,马约特,Mayotte,L
260,南苏丹共和国,Republic of South Sudan ,H
299,非洲其他国家(地区),Oth. Afr. nes, 
301,比利时,Belgium,L
302,丹麦,Denmark,L
303,英国,United Kingdom,L
304,德国,Germany,L
305,法国,France,L
306,爱尔兰,Ireland,L
307,意大利,Italy,L
308,卢森堡,Luxembourg,L
309,荷兰,Netherlands,L
310,希腊,Greece,L
311,葡萄牙,Portugal,L
312,西班牙,Spain,L
313,阿尔巴尼亚,Albania,L
314,安道尔,Andorra,H
315,奥地利,Austria,L
316,保加利亚,Bulgaria,L
318,芬兰,Finland,L
320,直布罗陀,Gibraltar,H
321,匈牙利,Hungary,L
322,冰岛,Iceland,L
323,列支敦士登,Liechtenstein,L
324,马耳他,Malta,L
325,摩纳哥,Monaco,L
326,挪威,Norway,L
327,波兰,Poland,L
328,罗马尼亚,Romania,L
329,圣马力诺,San Marino,L
330,瑞典,Sweden,L
331,瑞士,Switzerland,L
334,爱沙尼亚,Estonia,L
335,拉脱维亚,Latvia,L
336,立陶宛,Lithuania,L
337,格鲁吉亚,Georgia,L
